Entity,Code,Year,High Systolic Blood Pressure,High sodium diet,Low whole grains diet,Alcohol use,Low fruits diet,Unsafe water source,Secondhand smoke,Low birth weight,Child wasting,Unsafe sex,Diet low in nuts and seeds,Diet low in vegetables,Smoking,High fasting plasma glucose,High body-mass index,Unsafe sanitation,Drug use,Low bone mineral density,Vitamin a deficiency,Child stunting,Non-exclusive breastfeeding,Iron deficiency,Low physical activity,No access to handwashing facility,High ldl cholesterol,Air Pollution
Finland,FIN,2019.0,13799.365,997.02454,2617.273,2633.8528,1046.1979,1.3507097,401.9426,27.392677,6.1185126,120.27271,1038.4006,860.9203,6763.1167,9075.187,5581.2197,0.9126954,638.4134,744.0449,0.0005818084,0.021238513,0.1727309,0.17307042,1604.1534,8.581301,6983.8887,804.0282156999999
France,FRA,2019.0,89169.98,6306.7275,18558.84,42156.344,7899.6816,87.63181,4054.389,707.5661,4599.652,2327.7622,3557.089,4675.9604,80348.414,40294.805,46898.074,35.87587,5246.077,9997.154,0.00821084,0.778239,5.649224,3.7209861,14766.984,262.3472,37831.27,27615.710565
Gabon,GAB,2019.0,1804.7426,137.57623,181.78673,897.2288,51.011322,192.07419,117.05742,475.60248,151.74265,1121.3395,4.9847307,148.26562,523.64197,1419.7008,1308.8026,127.18056,44.44772,71.56966,1.345606,12.0391035,30.498302,20.507006,113.43294,185.27248,430.33237,1785.68954
Gambia,GMB,2019.0,1801.03,149.78168,209.20152,507.71417,260.10034,460.11057,224.49838,998.699,428.03986,1066.3928,4.4712577,176.02295,610.83856,981.81146,855.11017,321.66766,44.495064,64.34927,11.336884,43.95642,39.445473,74.68664,74.3929,443.33356,503.49213,3967.27743
Georgia,GEO,2019.0,18801.896,2489.8545,3770.2773,2258.9578,1461.7421,7.455729,1578.1581,161.82167,26.260813,241.0593,1038.7057,759.23444,7172.231,10103.539,8567.957,5.935201,303.86862,187.19391,0.023233231,2.8588502,5.2653923,3.2098005,935.73914,26.008966,5832.9414,9493.1052
Germany,DEU,2019.0,224493.88,15941.033,33592.645,76279.22,12907.9,106.0453,8061.507,892.0566,629.8115,3020.2449,4568.841,9889.475,143642.36,150713.36,106142.516,51.013733,5328.8477,9280.582,0.007885365,0.6739996,4.9481125,3.1893792,20215.68,313.89874,94571.77,56322.252678000004
Ghana,GHA,2019.0,26843.04,3378.5774,3437.8904,10154.175,915.2668,5598.8057,1231.6533,11547.098,6065.856,14994.564,54.37431,2126.2288,5476.902,17727.818,17781.049,3753.5093,605.5371,874.0072,134.68327,518.1259,590.618,356.49997,1274.9738,5756.997,8434.641,47400.217000000004
Greece,GRC,2019.0,29056.428,2358.986,7431.4414,3958.334,677.9685,1.0818764,2616.0857,125.17034,9.56128,358.32806,567.1249,278.92572,26257.793,15954.454,13079.971,1.4894369,344.4242,566.5698,0.0022936338,0.27256373,1.7063941,0.41905907,2588.5605,60.966846,14058.789,11975.33455
Greenland,GRL,2019.0,60.18655,7.068025,12.85614,39.584427,6.077344,0.07205387,11.524708,3.2537344,0.74597335,4.1531715,0.5269655,2.4687228,127.23302,42.081764,49.93036,0.13170809,7.2581162,5.245356,0.0013193883,0.01167332,0.036594,0.013900306,4.792153,0.14850986,28.448343,13.819333929999999
Grenada,GRD,2019.0,164.22746,13.275044,33.011425,45.216213,7.8698044,0.99107546,11.39425,8.700797,3.3609736,14.200254,3.8828242,14.244458,54.71671,177.88086,126.22156,0.4110011,2.161879,3.822596,0.0012615379,0.11458537,0.28266495,0.11979135,22.020773,3.7631063,50.929554,107.8156224
Guam,GUM,2019.0,307.1513,49.061523,63.025803,18.68823,16.416096,3.5939994,41.59172,16.34648,6.385428,11.40276,0.76211923,26.369102,158.63028,208.5708,219.51213,0.3459144,9.137187,4.5218024,0.02307941,0.29918534,0.3844938,0.19867182,25.356716,0.85367167,155.32553,71.2691237
Guatemala,GTM,2019.0,11308.07,1750.7214,1825.9578,5889.8433,1145.1215,2027.1387,1031.0387,2504.8865,3441.2102,1792.103,371.05478,862.11053,3788.0142,14505.978,8173.7188,1186.3019,492.18765,578.0721,11.645426,573.65405,292.9864,72.00856,172.43147,1096.9886,4076.1943,18095.326800000003
Guinea,GIN,2019.0,8994.521,849.3452,988.88074,1850.1187,653.4623,5562.033,1197.9348,9500.608,8501.376,4694.561,39.365463,832.6336,4249.9507,5476.1436,3909.9548,3897.5117,161.28172,363.3723,252.49097,1441.9948,996.07446,528.6939,326.09976,5107.428,2353.3735,32449.444300000003
Guinea-Bissau,GNB,2019.0,1505.9021,136.5821,158.33513,590.68567,171.88162,1053.1514,143.30084,1421.6665,899.3549,1033.5007,4.808468,175.64404,301.46283,873.0868,618.5621,758.518,40.440323,47.41789,95.49724,196.5689,100.52844,35.494118,54.875633,642.73883,400.40555,3992.07232
Guyana,GUY,2019.0,1477.7208,118.64536,216.04846,473.95175,164.05527,49.11655,116.886345,171.20505,69.37266,213.82664,9.879726,112.36977,423.08725,1443.7617,1129.282,20.664757,22.481045,35.41747,0.12468932,2.5564942,6.945269,4.421829,174.50424,49.729298,527.8662,932.13842
Haiti,HTI,2019.0,17246.781,1227.9015,2417.4902,4249.059,1510.0048,3501.969,842.1015,5949.0356,4523.806,5569.7275,304.64624,1874.0936,3117.2915,12977.142,5591.755,2483.199,297.73053,255.38498,69.79686,522.1957,1010.86127,350.44003,1376.0166,2404.0945,5347.705,27990.8547
Honduras,HND,2019.0,9885.316,1491.3015,1223.5479,2786.2825,746.5188,779.12286,817.3039,1446.6506,511.16064,475.50018,699.1891,793.29767,4226.1978,7524.548,5621.7437,473.44263,286.6943,241.73804,4.1807585,54.19402,135.917,34.47129,213.50584,160.74951,3636.0212,11378.4314
Hungary,HUN,2019.0,34377.297,12208.84,7227.5615,9115.2,2779.7048,58.945477,3600.1655,112.328606,23.95164,529.7267,3327.0552,1056.9253,24823.04,22658.547,20489.594,30.024609,222.74419,1062.9938,0.030933268,0.9634327,2.3998556,1.1583962,2192.933,14.555312,17396.145,16904.2321
